group,domain,year,status,snapshot_date,snapshot_url,details,timestamp
Bonnier,dn.se,2022,LEGACY_BLOCK,2021-12-30,http://web.archive.org/web/20211230083318/https://www.dn.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:11.944991
Bonnier,dn.se,2023,LEGACY_BLOCK,2023-01-02,http://web.archive.org/web/20230102012505/https://www.dn.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:16.877652
Bonnier,dn.se,2024,NO_DATA,,,No snapshot available,2026-01-24T21:00:25.906058
Bonnier,dn.se,2025,REACTIVE_BLOCK,2025-01-01,http://web.archive.org/web/20250101175343/https://www.dn.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:33.013316
Schibsted,svd.se,2022,LEGACY_BLOCK,2021-12-26,http://web.archive.org/web/20211226032029/https://www.svd.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:37.306876
Schibsted,svd.se,2023,LEGACY_BLOCK,2023-01-02,http://web.archive.org/web/20230102003920/https://www.svd.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:40.470546
Schibsted,svd.se,2024,REACTIVE_BLOCK,2024-01-02,http://web.archive.org/web/20240102024130/https://www.svd.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:45.428233
Schibsted,svd.se,2025,REACTIVE_BLOCK,2025-01-01,http://web.archive.org/web/20250101024116/https://www.svd.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:50.865834
Stampen,gp.se,2022,LEGACY_BLOCK,2021-12-25,http://web.archive.org/web/20211225044318/https://www.gp.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:55.152736
Stampen,gp.se,2023,LEGACY_BLOCK,2023-01-01,http://web.archive.org/web/20230101162051/https://www.gp.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:00:59.449072
Stampen,gp.se,2024,OPEN,2024-01-01,http://web.archive.org/web/20240101232904/https://www.gp.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: False",2026-01-24T21:01:04.597312
Stampen,gp.se,2025,REACTIVE_BLOCK,2024-12-31,http://web.archive.org/web/20241231005313/https://www.gp.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: False",2026-01-24T21:01:08.507457
NTM,unt.se,2022,LEGACY_BLOCK,2022-01-02,http://web.archive.org/web/20220102101635/https://unt.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:01:13.518505
NTM,unt.se,2023,LEGACY_BLOCK,2023-01-01,http://web.archive.org/web/20230101072301/https://unt.se/robots.txt,"GPTBot: False, ClaudeBot: False, Wildcard: True",2026-01-24T21:01:20.156421
NTM,unt.se,2024,REACTIVE_BLOCK,2024-01-01,http://web.archive.org/web/20240101201633/https://unt.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: True",2026-01-24T21:01:25.877468
NTM,unt.se,2025,REACTIVE_BLOCK,2025-01-02,http://web.archive.org/web/20250102093806/https://www.unt.se/robots.txt,"GPTBot: True, ClaudeBot: False, Wildcard: True",2026-01-24T21:01:31.805616
